Time = 12:10:00, O = 385.7, H = 386.0, L = 385.4, C = 385.45, Volume = 424824
Time = 12:15:00, O = 385.45, H = 386.2, L = 385.35, C = 386.0, Volume = 7119
Time = 12:20:00, O = 386.0, H = 386.0, L = 384.0, C = 384.55, Volume = 19130
Time = 12:25:00, O = 384.55, H = 384.55, L = 383.3, C = 383.75, Volume = 12599
Time = 12:30:00, O = 385.0, H = 385.05, L = 381.7, C = 381.9, Volume = 24914
Time = 12:35:00, O = 381.9, H = 382.9, L = 380.9, C = 382.45, Volume = 16727
Time = 12:40:00, O = 382.4, H = 383.0, L = 382.05, C = 382.8, Volume = 8172
Time = 12:45:00, O = 382.8, H = 382.8, L = 381.0, C = 381.3, Volume = 11330
Time = 12:50:00, O = 381.3, H = 383.2, L = 381.0, C = 382.8, Volume = 14582
Time = 12:55:00, O = 382.8, H = 383.65, L = 382.3, C = 383.15, Volume = 5761
Time = 13:00:00, O = 383.5, H = 383.5, L = 381.2, C = 382.2, Volume = 9733
Time = 13:05:00, O = 382.2, H = 382.5, L = 381.25, C = 381.75, Volume = 16211
Time = 13:10:00, O = 381.75, H = 383.0, L = 381.55, C = 382.7, Volume = 10675
Time = 13:15:00, O = 382.7, H = 382.7, L = 380.2, C = 381.65, Volume = 60190
Time = 13:20:00, O = 381.65, H = 382.6, L = 377.1, C = 377.95, Volume = 62930
Time = 13:25:00, O = 378.1, H = 380.0, L = 376.6, C = 379.05, Volume = 22085
