Time = 12:10:00, O = 5515.55, H = 5516.0, L = 5501.0, C = 5508.9, Volume = 537134
Time = 12:15:00, O = 5506.9, H = 5518.95, L = 5493.6, C = 5508.0, Volume = 24928
Time = 12:20:00, O = 5508.65, H = 5514.0, L = 5502.1, C = 5507.3, Volume = 8399
Time = 12:25:00, O = 5507.3, H = 5517.4, L = 5500.1, C = 5517.4, Volume = 7170
Time = 12:30:00, O = 5515.25, H = 5518.0, L = 5503.05, C = 5505.7, Volume = 6612
Time = 12:35:00, O = 5505.7, H = 5509.0, L = 5495.05, C = 5498.05, Volume = 9217
Time = 12:40:00, O = 5498.05, H = 5514.65, L = 5498.0, C = 5510.6, Volume = 4575
Time = 12:45:00, O = 5509.4, H = 5514.95, L = 5508.0, C = 5508.65, Volume = 5554
Time = 12:50:00, O = 5508.65, H = 5531.0, L = 5508.0, C = 5531.0, Volume = 15435
Time = 12:55:00, O = 5528.1, H = 5534.8, L = 5522.0, C = 5525.1, Volume = 10448
Time = 13:00:00, O = 5525.1, H = 5525.1, L = 5486.0, C = 5486.0, Volume = 23256
Time = 13:05:00, O = 5486.0, H = 5490.0, L = 5455.65, C = 5475.6, Volume = 31157
Time = 13:10:00, O = 5473.8, H = 5487.0, L = 5465.0, C = 5471.85, Volume = 15320
Time = 13:15:00, O = 5468.05, H = 5470.45, L = 5400.0, C = 5450.45, Volume = 50957
Time = 13:20:00, O = 5454.95, H = 5491.8, L = 5430.0, C = 5454.5, Volume = 32894
Time = 13:25:00, O = 5455.0, H = 5475.0, L = 5447.55, C = 5462.15, Volume = 13756
