Time = 09:15:00, O = 1474.05, H = 1485.85, L = 1474.05, C = 1483.3, Volume = 681167, ema_5=nan, ema_8=nan, ema_13=nan
Time = 09:20:00, O = 1483.25, H = 1485.1, L = 1482.15, C = 1483.4, Volume = 217734, ema_5=nan, ema_8=nan, ema_13=nan
Time = 09:25:00, O = 1483.0, H = 1487.7, L = 1482.5, C = 1486.65, Volume = 258464, ema_5=nan, ema_8=nan, ema_13=nan
Time = 09:30:00, O = 1486.85, H = 1488.5, L = 1486.0, C = 1487.5, Volume = 250209, ema_5=nan, ema_8=nan, ema_13=nan
Time = 09:35:00, O = 1487.6, H = 1494.4, L = 1487.2, C = 1492.0, Volume = 586947, ema_5=1487.64, ema_8=nan, ema_13=nan
Time = 09:40:00, O = 1491.85, H = 1492.9, L = 1489.0, C = 1489.15, Volume = 224906, ema_5=1488.143, ema_8=nan, ema_13=nan
Time = 09:45:00, O = 1489.7, H = 1492.0, L = 1488.5, C = 1491.35, Volume = 153465, ema_5=1489.212, ema_8=nan, ema_13=nan
Time = 09:50:00, O = 1491.5, H = 1492.7, L = 1490.4, C = 1491.45, Volume = 118799, ema_5=1489.958, ema_8=1488.757, ema_13=nan
Time = 09:55:00, O = 1491.5, H = 1491.5, L = 1488.0, C = 1489.8, Volume = 118088, ema_5=1489.905, ema_8=1488.989, ema_13=nan
Time = 10:00:00, O = 1489.5, H = 1489.95, L = 1485.9, C = 1486.05, Volume = 183089, ema_5=1488.62, ema_8=1488.336, ema_13=nan
Time = 10:05:00, O = 1486.0, H = 1489.0, L = 1486.0, C = 1488.5, Volume = 90408, ema_5=1488.58, ema_8=1488.372, ema_13=nan
Time = 10:10:00, O = 1488.5, H = 1488.5, L = 1483.0, C = 1484.95, Volume = 236151, ema_5=1487.37, ema_8=1487.612, ema_13=nan
Time = 10:15:00, O = 1484.7, H = 1484.95, L = 1480.0, C = 1483.25, Volume = 335582, ema_5=1485.997, ema_8=1486.642, ema_13=1486.685
Time = 10:20:00, O = 1483.9, H = 1484.0, L = 1481.0, C = 1481.9, Volume = 100971, ema_5=1484.631, ema_8=1485.589, ema_13=1486.002
Time = 10:25:00, O = 1481.7, H = 1483.5, L = 1478.2, C = 1483.35, Volume = 193451, ema_5=1484.204, ema_8=1485.091, ema_13=1485.623
Time = 10:30:00, O = 1483.5, H = 1484.9, L = 1482.6, C = 1484.9, Volume = 83552, ema_5=1484.436, ema_8=1485.049, ema_13=1485.519
Time = 10:35:00, O = 1484.95, H = 1486.4, L = 1483.65, C = 1484.1, Volume = 92452, ema_5=1484.324, ema_8=1484.838, ema_13=1485.317
Time = 10:40:00, O = 1484.05, H = 1484.9, L = 1482.25, C = 1482.8, Volume = 55521, ema_5=1483.816, ema_8=1484.385, ema_13=1484.957
Time = 10:45:00, O = 1482.75, H = 1482.8, L = 1480.0, C = 1481.0, Volume = 100002, ema_5=1482.877, ema_8=1483.633, ema_13=1484.392
Time = 10:50:00, O = 1480.95, H = 1481.1, L = 1478.6, C = 1480.3, Volume = 137811, ema_5=1482.018, ema_8=1482.892, ema_13=1483.807
Time = 10:55:00, O = 1480.35, H = 1480.95, L = 1479.05, C = 1479.25, Volume = 81172, ema_5=1481.095, ema_8=1482.083, ema_13=1483.156
Time = 11:00:00, O = 1479.2, H = 1479.2, L = 1476.55, C = 1476.7, Volume = 176022, ema_5=1479.63, ema_8=1480.887, ema_13=1482.234
Time = 11:05:00, O = 1476.65, H = 1480.5, L = 1476.6, C = 1479.5, Volume = 92351, ema_5=1479.587, ema_8=1480.578, ema_13=1481.843
Time = 11:10:00, O = 1479.5, H = 1479.9, L = 1476.75, C = 1477.5, Volume = 216525, ema_5=1478.891, ema_8=1479.894, ema_13=1481.223
Time = 11:15:00, O = 1477.45, H = 1477.7, L = 1472.9, C = 1473.8, Volume = 301313, ema_5=1477.194, ema_8=1478.54, ema_13=1480.162
Time = 11:20:00, O = 1473.85, H = 1476.0, L = 1473.5, C = 1475.05, Volume = 103118, ema_5=1476.479, ema_8=1477.764, ema_13=1479.432
Time = 11:25:00, O = 1475.4, H = 1475.75, L = 1470.1, C = 1471.65, Volume = 243101, ema_5=1474.87, ema_8=1476.406, ema_13=1478.32
Time = 09:15:00, O = 1474.05, H = 1485.85, L = 1474.05, C = 1483.3, Volume = 681167, ema_5=nan, ema_8=nan, ema_13=nan
Time = 09:20:00, O = 1483.25, H = 1485.1, L = 1482.15, C = 1483.4, Volume = 217734, ema_5=nan, ema_8=nan, ema_13=nan
Time = 09:25:00, O = 1483.0, H = 1487.7, L = 1482.5, C = 1486.65, Volume = 258464, ema_5=nan, ema_8=nan, ema_13=nan
Time = 09:30:00, O = 1486.85, H = 1488.5, L = 1486.0, C = 1487.5, Volume = 250209, ema_5=nan, ema_8=nan, ema_13=nan
Time = 09:35:00, O = 1487.6, H = 1494.4, L = 1487.2, C = 1492.0, Volume = 586947, ema_5=1487.64, ema_8=nan, ema_13=nan
Time = 09:40:00, O = 1491.85, H = 1492.9, L = 1489.0, C = 1489.15, Volume = 224906, ema_5=1488.143, ema_8=nan, ema_13=nan
Time = 09:45:00, O = 1489.7, H = 1492.0, L = 1488.5, C = 1491.35, Volume = 153465, ema_5=1489.212, ema_8=nan, ema_13=nan
Time = 09:50:00, O = 1491.5, H = 1492.7, L = 1490.4, C = 1491.45, Volume = 118799, ema_5=1489.958, ema_8=1488.757, ema_13=nan
Time = 09:55:00, O = 1491.5, H = 1491.5, L = 1488.0, C = 1489.8, Volume = 118088, ema_5=1489.905, ema_8=1488.989, ema_13=nan
Time = 10:00:00, O = 1489.5, H = 1489.95, L = 1485.9, C = 1486.05, Volume = 183089, ema_5=1488.62, ema_8=1488.336, ema_13=nan
Time = 10:05:00, O = 1486.0, H = 1489.0, L = 1486.0, C = 1488.5, Volume = 90408, ema_5=1488.58, ema_8=1488.372, ema_13=nan
Time = 10:10:00, O = 1488.5, H = 1488.5, L = 1483.0, C = 1484.95, Volume = 236151, ema_5=1487.37, ema_8=1487.612, ema_13=nan
Time = 10:15:00, O = 1484.7, H = 1484.95, L = 1480.0, C = 1483.25, Volume = 335582, ema_5=1485.997, ema_8=1486.642, ema_13=1486.685
Time = 10:20:00, O = 1483.9, H = 1484.0, L = 1481.0, C = 1481.9, Volume = 100971, ema_5=1484.631, ema_8=1485.589, ema_13=1486.002
Time = 10:25:00, O = 1481.7, H = 1483.5, L = 1478.2, C = 1483.35, Volume = 193451, ema_5=1484.204, ema_8=1485.091, ema_13=1485.623
