Time = 12:10:00, O = 175.1, H = 175.3, L = 175.0, C = 175.2, Volume = 24242249
Time = 12:15:00, O = 175.2, H = 175.3, L = 174.6, C = 175.15, Volume = 779815
Time = 12:20:00, O = 175.1, H = 175.4, L = 175.0, C = 175.0, Volume = 784043
Time = 12:25:00, O = 175.0, H = 175.6, L = 174.7, C = 175.55, Volume = 638918
Time = 12:30:00, O = 175.55, H = 175.6, L = 174.75, C = 174.8, Volume = 400343
Time = 12:35:00, O = 174.85, H = 175.0, L = 174.5, C = 174.7, Volume = 618213
Time = 12:40:00, O = 174.65, H = 175.1, L = 174.65, C = 174.8, Volume = 361068
Time = 12:45:00, O = 174.8, H = 175.0, L = 174.6, C = 174.85, Volume = 327328
Time = 12:50:00, O = 174.8, H = 175.5, L = 174.65, C = 175.45, Volume = 535714
Time = 12:55:00, O = 175.45, H = 175.5, L = 175.05, C = 175.2, Volume = 356841
Time = 13:00:00, O = 175.2, H = 175.2, L = 173.25, C = 173.25, Volume = 1764293
Time = 13:05:00, O = 173.3, H = 173.35, L = 172.3, C = 172.5, Volume = 1988217
Time = 13:10:00, O = 172.4, H = 173.35, L = 172.15, C = 172.8, Volume = 1020185
Time = 13:15:00, O = 172.8, H = 172.8, L = 169.55, C = 171.5, Volume = 3683849
Time = 13:20:00, O = 171.5, H = 172.45, L = 170.7, C = 171.25, Volume = 1980300
Time = 13:25:00, O = 171.15, H = 171.65, L = 170.75, C = 171.3, Volume = 1153560
