,instrument_token,tradingsymbol
0,1009,CPSE INDEX
1,1034,HANGSENG BEES-NAV
2,1035,INDIA VIX
3,1008,LIX 15
4,1010,NI15
5,1018,NIFTY 100
6,1033,NIFTY 200
7,1001,NIFTY 50
8,1047,NIFTY 500
9,1039,NIFTY ALPHA 50
10,1029,NIFTY AUTO
11,1016,NIFTY BANK
12,1005,NIFTY COMMODITIES
13,1006,NIFTY CONSUMPTION
14,1048,NIFTY CPSE
15,1004,NIFTY DIV OPPS 50
16,1022,NIFTY ENERGY
17,1007,NIFTY FIN SERVICE
18,1023,NIFTY FMCG
19,1056,NIFTY GROWSECT 15
20,1051,NIFTY GS 10YR
21,1052,NIFTY GS 10YR CLN
22,1053,NIFTY GS 11 15YR
23,1054,NIFTY GS 15YRPLUS
24,1049,NIFTY GS 4 8YR
25,1050,NIFTY GS 8 13YR
26,1055,NIFTY GS COMPSITE
27,1021,NIFTY INFRA
28,1015,NIFTY IT
29,1031,NIFTY MEDIA
30,1030,NIFTY METAL
31,1057,NIFTY MID LIQ 15
32,1003,NIFTY MIDCAP 100
33,1040,NIFTY MIDCAP 150
34,1019,NIFTY MIDCAP 50
35,1041,NIFTY MIDSML 400
36,1024,NIFTY MNC
37,1058,NIFTY NEXT 50
38,1025,NIFTY PHARMA
39,1026,NIFTY PSE
40,1027,NIFTY PSU BANK
41,1059,NIFTY PVT BANK
42,1020,NIFTY REALTY
43,1028,NIFTY SERV SECTOR
44,1043,NIFTY SMLCAP 100
45,1044,NIFTY SMLCAP 250
46,1042,NIFTY SMLCAP 50
47,1062,NIFTY100 EQL WGT
48,1046,NIFTY100 LIQ 15
49,1063,NIFTY100 LOWVOL30
50,1064,NIFTY100 QUALTY30
51,1038,NIFTY200 QUALTY30
52,1036,NIFTY50 DIV POINT
53,1061,NIFTY50 EQL WGT
54,1012,NIFTY50 PR 1X INV
55,1011,NIFTY50 PR 2X LEV
56,1014,NIFTY50 TR 1X INV
57,1013,NIFTY50 TR 2X LEV
58,1045,NIFTY50 VALUE 20
59,6833,1018GS2026-GS
60,6819,1025GS2021-GS
61,6814,116GS2020-GS
62,16921,20MICRONS
63,4,21STCENMGM
64,11774,3IINFOTECH
65,474,3MINDIA
66,2595,3PLAND
67,5621,3RDROCK-IT
68,18469,509GS2022-GS
69,18976,522GS2025-GS
70,18857,579GS2030-GS
71,6872,587GS2022-GS
72,6871,597GS2025-GS
73,445,5PAISA
74,6866,601GS2028-GS
